,_id,favorites,geo,hashtags,id,mentions,retweets,text,user
0,598506bd76d31349b060b218,1,,#ItIsNotEasyBeingACockapoo,893258813557669890,,0,The excitement was a bit too much. The baby Lizzie rescue and rain messing up his beautiful hair just got to him. #ItIsNotEasyBeingACockapoo pic.twitter.com/sujBlSkdeB,Sweet_C13
1,598506bd76d31349b060b219,0,,,893255329508728834,,0,"56 Free or Discount Inspirational Books for 8/3/17 I suggest ""Maker of the Rain "" by A. Williams (last row of list) https://www. lifeversebooks.org/56-free-and-di scounted-inspirational-book-deals-for-8317/ …",JanetK_FL
2,598506bd76d31349b060b21a,0,,,893253291316043776,,0,"And here comes the rain , they better get these runs back and quick, cmon yanks, we are better than this",MeehanLori
3,598506bd76d31349b060b21b,7,,,893248009659699200,,0,The Mercers. Let it rain :),CmonPeopleNow
4,598506bd76d31349b060b21c,0,,,893235541033996289,,0,Some pretty serious sideways rain .,BriggsTheGreat
5,598506bd76d31349b060b21d,0,,,893232963785076737,,0,Yesterday Chanel and her own Warrior managed to fit in some fun in between the rain . It was wet… https://www. instagram.com/p/BXWRJcFF8JU/,RCREquestrian
6,598506bd76d31349b060b21e,0,,,893231973925302272,,0,well my life just flashed before my eyes. fuck this rain .,itsjohnlopez
7,598506bd76d31349b060b21f,0,,#Glory #Rain,893227876740452352,,0,Looking like 2 days no cheer practice !!! #Glory #Rain,iamladyv
8,598506bd76d31349b060b220,0,,,893222867458023424,,0,"Tbh, I need this rain to stop before I'm headed home. I am nowhere near mentally okay enough to drive home in this shit",paralove16
9,598506bd76d31349b060b221,0,,,893222090681221121,,0,Nite nite. A warm day here. Where is the 50% chance of rain . Took afternoon nap with mom. She is trying to catch up on sleep. Hugs and purrs,SweeetWilliam
10,598506bd76d31349b060b222,1,,,893218193866719235,,0,"Only the sound of rain makes that any better, sounds awesome. *yawns*",Whirledpeas4u4m
11,598506bd76d31349b060b223,0,,,893214707015983104,,0,Rain in Dominica http:// fb.me/A9VqDU5Z,zacamillion
12,598506bd76d31349b060b224,1,,,893214367440830464,,0,We received 2 inches of rain in a half hour in the Ruskin Florida area,JoelDeb
13,598506bd76d31349b060b225,2,,#storm #ship #rain #clouds #tampabay,893213977307688960,,0,Storm coming in over Tampa Bay. Shot coming over The Sunshine Skyway Bridge. #storm #ship #rain #clouds #tampabay … http:// ift.tt/2vuswky pic.twitter.com/1VLB55Tywd,Christybelle
